"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x1167337853581348864","x1191968934087581696",2019-11-06 06:41:54,"JKPNA1","First forceful occupation of #Kashmir and now they have released illegal map of #India officially, ignoring the restrictions imposed by @UN.
@PMOIndia @narendramodi
#KashmirIssue #KashmirBleeds #IOK #POK #Jammu #PNA #JKPNA #IndianMapsRejected https://t.co/YV3W7xXT9V","Twitter Web App",242,,,,FALSE,FALSE,0,0,"Kashmir India KashmirIssue KashmirBleeds IOK POK Jammu PNA JKPNA IndianMapsRejected",,,,,"http://pbs.twimg.com/media/EIq5bA3W4AEc965.jpg","https://t.co/YV3W7xXT9V","https://twitter.com/JKPNA1/status/1191968934087581696/photo/1","photo","http://pbs.twimg.com/media/EIq5bA3W4AEc965.jpg","https://t.co/YV3W7xXT9V","https://twitter.com/JKPNA1/status/1191968934087581696/photo/1",,"x14159148 x471741741 x18839785","UN PMOIndia narendramodi","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/JKPNA1/status/1191968934087581696","JKPNA","","Official Account of Jammu Kashmir People's National Alliance","https://t.co/WF4UWYGfQj",FALSE,28,2,0,34,19,2019-08-30 07:27:48,FALSE,"https://t.co/WF4UWYGfQj","http://www.facebook.com/JKPNA",,"https://pbs.twimg.com/profile_banners/1167337853581348864/1567150602",,"http://pbs.twimg.com/profile_images/1167339524336152576/EKrye2VD_normal.jpg"
"x38930724","x1191968880534675458",2019-11-06 06:41:41,"GoPeaceWay","Snowfall in #Kashmir #AJK 🍁https://t.co/KdL1lR9BaR","Twitter for Android",66,,,,FALSE,TRUE,0,13,"Kashmir AJK",,,,,"http://pbs.twimg.com/ext_tw_video_thumb/1191907908788850688/pu/img/VtLNDKImdEK5S2W3.jpg","https://t.co/KdL1lR9BaR","https://twitter.com/MughalAmiruddin/status/1191908053731434498/video/1","photo","http://pbs.twimg.com/ext_tw_video_thumb/1191907908788850688/pu/img/VtLNDKImdEK5S2W3.jpg","https://t.co/KdL1lR9BaR","https://twitter.com/MughalAmiruddin/status/1191908053731434498/video/1",,"x1073076028938088448","salmi_gull","en",,,,,,,,,,,,,,,,"x1191951750170841089","Snowfall in #Kashmir #AJK 🍁https://t.co/KdL1lR9BaR",2019-11-06 05:33:37,"Twitter for iPhone",53,13,"x1073076028938088448","salmi_gull","Salma.Gul🍁",1684,1538,12716,"Mirpur  Azad kashmir","#kashmiri from father's side 💞#pukhtoon from mother's side ♥ Student of:Politics,International Relation ♥ interested in:politics,philosphy'History,Humanright",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/GoPeaceWay/status/1191968880534675458","Love Peace Truth","United States","Professional Student","https://t.co/RVmkiJX4xq",FALSE,322,3319,2,2736,5118,2009-05-09 21:22:58,FALSE,"https://t.co/RVmkiJX4xq","https://washington.org/",,"https://pbs.twimg.com/profile_banners/38930724/1566243751","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1163535679076360192/IYckrqht_normal.jpg"
"x921238936726282240","x1191968708912173058",2019-11-06 06:41:00,"AbdurRehman1918","مرے مالک مرے رہبر مدد کر 
کہ ہے کشمیر خوں سے  تر مدد کر 
نہیں سایہ کوئی سر پر مدد کر 
بھروسہ ہے تو اک تجھ پر مدد کر 

مقبوضہ کشمیر ظلم و بربریت کی بدترین داستان، انسانیت کے حقوق کی پامالی کے 94 دن

 #Kashmir #Curfew_94Days https://t.co/tpJsucULLm","Twitter for Android",140,,,,FALSE,TRUE,0,1,,,,,,,,,,,,,,"x756367772108587008","630wa","ur",,,,,,,,,,,,,,,,"x1191955049020301319","مرے مالک مرے رہبر مدد کر 
کہ ہے کشمیر خوں سے  تر مدد کر 
نہیں سایہ کوئی سر پر مدد کر 
بھروسہ ہے تو اک تجھ پر مدد کر 

مقبوضہ کشمیر ظلم و بربریت کی بدترین داستان، انسانیت کے حقوق کی پامالی کے 94 دن

 #Kashmir #Curfew_94Days https://t.co/tpJsucULLm",2019-11-06 05:46:43,"Twitter for Android",1,1,"x756367772108587008","630wa","Sajjad Ali",196,222,1677,"Pakistan","‏‏‏‏‏‏فلاحی و سماجی ورک/ ڈرائیونگ/شکار کرنا/مچھلی/بیف پلاؤ/
نہ کر شکوہ مقدر کا قدم آگے بڑھاتا جا
Fallow me Fallow back
‎‎@TeamPakPatriots",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/AbdurRehman1918/status/1191968708912173058","AbdulRehman","Rawalpindi, Pakistan","‏‎‎‎‎‎‎‎‎‎#دعوت_و_اصلاح 
‏‏#Muslim #Pakistani",,FALSE,1228,1017,1,9570,11385,2017-10-20 04:57:33,FALSE,,,,"https://pbs.twimg.com/profile_banners/921238936726282240/1565027781",,"http://pbs.twimg.com/profile_images/1184057184356880384/dxvrBc8V_normal.jpg"
"x921238936726282240","x1191968520885669893",2019-11-06 06:40:15,"AbdurRehman1918","06 نومبر یوم شہدائے جموں

#Kashmir #KashmirStillUnderCurfew","Twitter for Android",78,,,,FALSE,TRUE,0,6,"Kashmir KashmirStillUnderCurfew",,,,,,,,,,,,,"x944073725460336641","mabdullah2k19","ur",,,,,,,,,,,,,,,,"x1191955441749770240","06 نومبر یوم شہدائے جموں

#Kashmir #KashmirStillUnderCurfew",2019-11-06 05:48:17,"Twitter for Android",7,6,"x944073725460336641","mabdullah2k19","Muhammad Abdullah",2038,136,6367,"ہر ملک ملک ما است","||Columnist||Blogger||SM_Activist & Trainer||Speaker||Influencer||First_Love_Pakistan🇵🇰||HR Manager & #Blogger at @BaaghiTV||
Views are Personal||",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/AbdurRehman1918/status/1191968520885669893","AbdulRehman","Rawalpindi, Pakistan","‏‎‎‎‎‎‎‎‎‎#دعوت_و_اصلاح 
‏‏#Muslim #Pakistani",,FALSE,1228,1017,1,9570,11385,2017-10-20 04:57:33,FALSE,,,,"https://pbs.twimg.com/profile_banners/921238936726282240/1565027781",,"http://pbs.twimg.com/profile_images/1184057184356880384/dxvrBc8V_normal.jpg"
"x736161488591847424","x1191968706861158401",2019-11-06 06:41:00,"MoFaisu","Snowfall in #Kashmir #AJK 🍁https://t.co/KdL1lR9BaR","Twitter for Android",66,,,,FALSE,TRUE,0,13,"Kashmir AJK",,,,,"http://pbs.twimg.com/ext_tw_video_thumb/1191907908788850688/pu/img/VtLNDKImdEK5S2W3.jpg","https://t.co/KdL1lR9BaR","https://twitter.com/MughalAmiruddin/status/1191908053731434498/video/1","photo","http://pbs.twimg.com/ext_tw_video_thumb/1191907908788850688/pu/img/VtLNDKImdEK5S2W3.jpg","https://t.co/KdL1lR9BaR","https://twitter.com/MughalAmiruddin/status/1191908053731434498/video/1",,"x1073076028938088448","salmi_gull","en",,,,,,,,,,,,,,,,"x1191951750170841089","Snowfall in #Kashmir #AJK 🍁https://t.co/KdL1lR9BaR",2019-11-06 05:33:37,"Twitter for iPhone",53,13,"x1073076028938088448","salmi_gull","Salma.Gul🍁",1684,1538,12716,"Mirpur  Azad kashmir","#kashmiri from father's side 💞#pukhtoon from mother's side ♥ Student of:Politics,International Relation ♥ interested in:politics,philosphy'History,Humanright",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/MoFaisu/status/1191968706861158401","Mohammed Faisal","Dadyal Islamabad kashmir","Pakistani 🇵🇰 & Kashmiri 🏞️ 
Member of @PTFP_Official
Travelled: 🇬🇧🇹🇷🇪🇸🇮🇹🇬🇷🇨🇾🇭🇷🇵🇹🇵🇰🇦🇪
Cabin Crew ✈️",,FALSE,103,44,0,1297,2924,2016-05-27 11:45:50,FALSE,,,,"https://pbs.twimg.com/profile_banners/736161488591847424/1526828131",,"http://pbs.twimg.com/profile_images/1177133745738063872/5K_B7FcH_normal.jpg"
"x1186008954536632320","x1191968701794455553",2019-11-06 06:40:58,"UmairKhanLive","Can india deny that the situation in #Kashmir is an internationally recognized dispute on which there are number of @UN resolutions?

Can india deny that the @UN has expressly called for the holding of an impartial #referendum to ascertain the wishes of the #Kashmiri people?

1","Twitter for Android",140,,,,FALSE,TRUE,0,12,"Kashmir",,,,,,,,,,,,,"x1164164900421287939 x14159148","KashmirSiege UN","en",,,,,,,,,,,,,,,,"x1191812198894620674","Can india deny that the situation in #Kashmir is an internationally recognized dispute on which there are number of @UN resolutions?

Can india deny that the @UN has expressly called for the holding of an impartial #referendum to ascertain the wishes of the #Kashmiri people?

1",2019-11-05 20:19:05,"Twitter for Android",12,12,"x1164164900421287939","KashmirSiege","Kashmir Siege",767,580,1722,"Manchester, England","Kashmiris rights to live with dignity & peace as a sovereign nation gunned down by Indian Army. Firm adherent of Freedom & humanity. Longing to see #FreeKashmir",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/UmairKhanLive/status/1191968701794455553","Umair Khan","Vancouver","Proud to be a Kashmiri 🍁 An accountant who is interested in Global Politics",,FALSE,62,170,0,297,236,2019-10-20 19:59:23,FALSE,,,,"https://pbs.twimg.com/profile_banners/1186008954536632320/1572540449",,"http://pbs.twimg.com/profile_images/1186545712139591681/69ZlnPSb_normal.jpg"
"x1186008954536632320","x1191968646882574342",2019-11-06 06:40:45,"UmairKhanLive","If you have any doubt who is #killing innocent laborers in #kashmir and why. Read this for a glimpse.
#rss_hindutva_extremists
#IndianMapsRejectd
#KashmirBleeds
RAW ex-chief Dulat says intel agencies bribe J-K militants, parties via @htTweets https://t.co/V9SeyHYej6","Twitter for Android",140,,,,FALSE,TRUE,0,6,"killing kashmir",,,,,,,,,,,,,"x1158700766594502656","IRJK_soon","en",,,,,,,,,,,,,,,,"x1191871832259022849","If you have any doubt who is #killing innocent laborers in #kashmir and why. Read this for a glimpse.
#rss_hindutva_extremists
#IndianMapsRejectd
#KashmirBleeds
RAW ex-chief Dulat says intel agencies bribe J-K militants, parties via @htTweets https://t.co/V9SeyHYej6",2019-11-06 00:16:03,"Twitter for Android",6,6,"x1158700766594502656","IRJK_soon","Kashmir_The Unheard Voice🏳️",660,325,4739,"","",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/UmairKhanLive/status/1191968646882574342","Umair Khan","Vancouver","Proud to be a Kashmiri 🍁 An accountant who is interested in Global Politics",,FALSE,62,170,0,297,236,2019-10-20 19:59:23,FALSE,,,,"https://pbs.twimg.com/profile_banners/1186008954536632320/1572540449",,"http://pbs.twimg.com/profile_images/1186545712139591681/69ZlnPSb_normal.jpg"
"x108012218","x1191968645804625922",2019-11-06 06:40:45,"shellali6","#KashmirStillCrying 
@proudlykashmiri
#kashmir
Save kashmir
Save humanity https://t.co/fG72QvRZrb","Twitter for Android",117,,,,FALSE,TRUE,0,6,"KashmirStillCrying kashmir",,,,,"http://pbs.twimg.com/media/EIq2kRbW4AU1IRJ.jpg","https://t.co/fG72QvRZrb","https://twitter.com/shazanshahid97/status/1191965797616406528/photo/1","photo","http://pbs.twimg.com/media/EIq2kRbW4AU1IRJ.jpg","https://t.co/fG72QvRZrb","https://twitter.com/shazanshahid97/status/1191965797616406528/photo/1",,"x1182754159365427201 x3730827612","shazanshahid97 proudlykashmiri","en",,,,,,,,,,,,,,,,"x1191965797616406528","#KashmirStillCrying 
@proudlykashmiri
#kashmir
Save kashmir
Save humanity https://t.co/fG72QvRZrb",2019-11-06 06:29:26,"Twitter for Android",2,6,"x1182754159365427201","shazanshahid97","shazan shahid",155,169,2772,"","@shezziwrites
#freekashmir
Member of @ikforce",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/shellali6/status/1191968645804625922","ShellAli","Rawalpindi, Pakistan","Everybody can be great because anybody can serve Martin Luther King Jr||
Serving my country|| Pak Army Zindabad Pakistan Painda baad 🇵🇰🇵🇰🇵🇰",,FALSE,1125,1283,1,14217,7990,2010-01-24 14:24:11,FALSE,,,,"https://pbs.twimg.com/profile_banners/108012218/1564941625","http://abs.twimg.com/images/themes/theme8/bg.gif","http://pbs.twimg.com/profile_images/1189637957097013248/uu-57By3_normal.jpg"
"x1172121833577111552","x1191968604532695041",2019-11-06 06:40:35,"DisputedK",".

450 thousand muslims were killed by RSS terrorists in Jammu region of #Kashmir 
1.8 million were forced to migrant from Jammu region of Indian Administrated Kashmir 

They have right to come back to their homes

#HitlerModi
#Jammu_Massacres 
#Kashmir
#KashmirBleeds","Twitter for Android",140,,,,FALSE,TRUE,0,1,"Kashmir",,,,,,,,,,,,,"x1172121833577111552","DisputedK","en",,,,,,,,,,,,,,,,"x1179053806375591937",".

450 thousand muslims were killed by RSS terrorists in Jammu region of #Kashmir 
1.8 million were forced to migrant from Jammu region of Indian Administrated Kashmir 

They have right to come back to their homes

#HitlerModi
#Jammu_Massacres 
#Kashmir
#KashmirBleeds",2019-10-01 15:21:47,"Twitter for Android",0,1,"x1172121833577111552","DisputedK","Disputed Kashmir",40,204,1978,"Global Citizen ","Indian Administrated Kashmir Most Militarized Land 
.....
Humanity, Human Righs, Justice, Dignity, Freedom ... Safe and Peace",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/DisputedK/status/1191968604532695041","Disputed Kashmir","Global Citizen ","Indian Administrated Kashmir Most Militarized Land 
.....
Humanity, Human Righs, Justice, Dignity, Freedom ... Safe and Peace",,FALSE,40,204,1,1978,263,2019-09-12 12:19:15,FALSE,,,,,,"http://pbs.twimg.com/profile_images/1172170226710056964/hxwoku5t_normal.jpg"
"x4843283021","x1191968592377581568",2019-11-06 06:40:32,"AliHassanNoon1","Share it as much as possible to show the world that #Kashmir is under inhuman siege and curfew.
#KashmirStillCrying https://t.co/IPlaJResPa","Twitter for Android",140,,,,FALSE,TRUE,0,2,"Kashmir KashmirStillCrying",,,,,,,,,,,,,"x1104317542301134848","ilovewaziristan","en",,,,,,,,,,,,,,,,"x1191967445864648704","Share it as much as possible to show the world that #Kashmir is under inhuman siege and curfew.
#KashmirStillCrying https://t.co/IPlaJResPa",2019-11-06 06:35:59,"Twitter Web App",0,2,"x1104317542301134848","ilovewaziristan","I Love Waziristan✪",7108,6983,16257,"frm Waziristan livs in Karachi","@ilovewaziristan is a social media platform working for building positive perception and to show beauties of Tribal Areas of Pakistan.
-- IFB 100% --",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/AliHassanNoon1/status/1191968592377581568","Ali Hassan Noon 🇵🇰🇵🇰❤️🇲🇾🇹🇷💪","Everywhere At Once","",,FALSE,732,903,2,5719,5026,2016-01-24 20:55:13,FALSE,,,,"https://pbs.twimg.com/profile_banners/4843283021/1570766545",,"http://pbs.twimg.com/profile_images/1191893149158916096/rZNY2xQh_normal.jpg"
"x4843283021","x1191963635620425728",2019-11-06 06:20:51,"AliHassanNoon1","بھارت کے ٹکڑے ہونے شروع ہو گئے۔ آج مانی  پور تو کل دو درجن اور علیحدگی پسند بھارت سے آزادی کا اعلان کریں گے۔ بھارت نے پاکستان کو توڑنے کے لیئے کئی قومیت پرست تنظیموں کو ہوااور فنڈنگ دی مگر آج خود اپنے کھودے کنویں میں گرگیا۔
#Kashmir #Pakistan 
#Manipur https://t.co/4hEFjYMzVJ","Twitter for Android",140,,,,FALSE,TRUE,0,178,,,,,,,,,,,,,,"x710571771141947393","gulsher34","ur",,,,,,,,,,,,,,,,"x1189485486831742976","بھارت کے ٹکڑے ہونے شروع ہو گئے۔ آج مانی  پور تو کل دو درجن اور علیحدگی پسند بھارت سے آزادی کا اعلان کریں گے۔ بھارت نے پاکستان کو توڑنے کے لیئے کئی قومیت پرست تنظیموں کو ہوااور فنڈنگ دی مگر آج خود اپنے کھودے کنویں میں گرگیا۔
#Kashmir #Pakistan 
#Manipur https://t.co/4hEFjYMzVJ",2019-10-30 10:13:34,"Twitter for Android",457,178,"x710571771141947393","gulsher34","Qasim Shah",11324,279,1042,"Pakistan","Capt Gulsher of Alpha bravo Charlie",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/AliHassanNoon1/status/1191963635620425728","Ali Hassan Noon 🇵🇰🇵🇰❤️🇲🇾🇹🇷💪","Everywhere At Once","",,FALSE,732,903,2,5719,5026,2016-01-24 20:55:13,FALSE,,,,"https://pbs.twimg.com/profile_banners/4843283021/1570766545",,"http://pbs.twimg.com/profile_images/1191893149158916096/rZNY2xQh_normal.jpg"
"x2523227912","x1191968529416933376",2019-11-06 06:40:17,"vaid_abhay","@Rohietgupta Bro all happens in politics check out #Kashmir #Sikkim #Haryana justifying this issue is not in comman mans mind","Twitter for iPhone",112,"x1190190386842501121","x135102917","Rohietgupta",FALSE,FALSE,0,0,"Kashmir Sikkim Haryana",,,,,,,,,,,,,"x135102917","Rohietgupta","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/vaid_abhay/status/1191968529416933376","Abhay Upadhayay","","मै हौसला ही हूँ,      गिरता हूँ, संभलता हूँ, टूटता हूँ,    बिखरता हूँ .   पर.  हारता नहीं!",,FALSE,112,236,2,6307,10849,2014-05-25 18:29:00,FALSE,,,,,"http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/563257067067043840/CEKHYEfs_normal.jpeg"
"x3528644112","x1191968518255894533",2019-11-06 06:40:15,"Benightedeye","J&amp;K High Court dismisses plea filed by kin of Farooq Abdullah challenging their alleged house arrest [Read Order]
#Kashmir https://t.co/K5XhGFTlNh","Twitter for Android",144,,,,FALSE,TRUE,0,15,"Kashmir",,,,,,,,,,,,,"x67577895","barandbench","en",,,,,,,,,,,,,,,,"x1191927792281276417","J&amp;K High Court dismisses plea filed by kin of Farooq Abdullah challenging their alleged house arrest [Read Order]
#Kashmir https://t.co/K5XhGFTlNh",2019-11-06 03:58:25,"Twitter for Android",20,15,"x67577895","barandbench","Bar & Bench",107749,852,42001,"Bangalore, Delhi, Mumbai, Chennai, Hyderabad","News about Law & Lawyers. #India related. Breaking news from reporters in #SupremeCourt, #DelhiHC, #BombayHC, #MadrasHC, Retweet, Follow ≠ Endorsement",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Benightedeye/status/1191968518255894533","Ithikkara_Pakki","Somalia","Gypsy soul trapped in the confines of reality| serene n wild n brutally insane| മലയാളിI socialist| medico| Independently aligned on issues",,FALSE,273,1185,2,18330,37224,2015-09-11 16:56:52,FALSE,,,,"https://pbs.twimg.com/profile_banners/3528644112/1539701532","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1189137039876218880/llwW9rjr_normal.jpg"
"x3528644112","x1191967802481139714",2019-11-06 06:37:24,"Benightedeye","#Kashmir: Hearing in plea by Anuradha Bhasin on communication shutdown in Kashmir continuing before court 3 of Supreme Court.

Vrinda Grover arguing for Bhasin. 

""Shutdown for 90 days is by no means a temporary measure"" , Vrinda Grover.","Twitter for Android",140,,,,FALSE,TRUE,0,8,"Kashmir",,,,,,,,,,,,,"x67577895","barandbench","en",,,,,,,,,,,,,,,,"x1191958565960998912","#Kashmir: Hearing in plea by Anuradha Bhasin on communication shutdown in Kashmir continuing before court 3 of Supreme Court.

Vrinda Grover arguing for Bhasin. 

""Shutdown for 90 days is by no means a temporary measure"" , Vrinda Grover.",2019-11-06 06:00:42,"Twitter for Android",20,8,"x67577895","barandbench","Bar & Bench",107749,852,42001,"Bangalore, Delhi, Mumbai, Chennai, Hyderabad","News about Law & Lawyers. #India related. Breaking news from reporters in #SupremeCourt, #DelhiHC, #BombayHC, #MadrasHC, Retweet, Follow ≠ Endorsement",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Benightedeye/status/1191967802481139714","Ithikkara_Pakki","Somalia","Gypsy soul trapped in the confines of reality| serene n wild n brutally insane| മലയാളിI socialist| medico| Independently aligned on issues",,FALSE,273,1185,2,18330,37224,2015-09-11 16:56:52,FALSE,,,,"https://pbs.twimg.com/profile_banners/3528644112/1539701532","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1189137039876218880/llwW9rjr_normal.jpg"
"x4584560905","x1191968474375114752",2019-11-06 06:40:04,"moody_bhakt","Is #Kashmir not part of Indian democracy? In Delhi, even police can protest, but in Kashmir, people are NOT allowed to protest! #DelhiPolice","Twitter for Android",140,,,,FALSE,TRUE,0,1210,"Kashmir",,,,,,,,,,,,,"x70355674","ashoswai","en",,,,,,,,,,,,,,,,"x1191636462573359104","Is #Kashmir not part of Indian democracy? In Delhi, even police can protest, but in Kashmir, people are NOT allowed to protest! #DelhiPolice",2019-11-05 08:40:46,"Twitter for iPhone",3832,1210,"x70355674","ashoswai","Ashok Swain",135858,1550,40801,"Uppsala, Sweden","Professor of Peace and Conflict Research. Views are My Own.",TRUE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/moody_bhakt/status/1191968474375114752","Amit Shah is Watching","Kolkata, India","A jobless person with a busy schedule.","https://t.co/PUwIvIedhN",FALSE,55,248,0,425,1008,2015-12-17 12:50:51,FALSE,"https://t.co/PUwIvIedhN","http://error.com/noneofurbusiness",,"https://pbs.twimg.com/profile_banners/4584560905/1569092360",,"http://pbs.twimg.com/profile_images/1188758397597798402/SchVbGfk_normal.jpg"
"x2732011495","x1191968472479256576",2019-11-06 06:40:04,"faheem_maliik","The world pl. justify how #Kashmir is an internal matter in such gross #HumanityDyingInKashmir and the clampdown nearing 3months.
#KashmirStillCrying","Twitter for Android",140,,,,FALSE,TRUE,0,1,"Kashmir HumanityDyingInKashmir",,,,,,,,,,,,,"x1128374848047276032","bibichand12","en",,,,,,,,,,,,,,,,"x1191966694220034048","The world pl. justify how #Kashmir is an internal matter in such gross #HumanityDyingInKashmir and the clampdown nearing 3months.
#KashmirStillCrying",2019-11-06 06:33:00,"TweetDeck",1,1,"x1128374848047276032","bibichand12","چاند بی بی",6938,6938,21878,"Kurram Pakistan","Beauty lover🤗
Love my Watan Waziristan💚
Traveling is my hobby💕


Follow for follow back😜",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/faheem_maliik/status/1191968472479256576","❣فہیم ملک💦","Dubai, United Arab Emirates","MyFàthér'Callme-Badßoy MyMother'CallMe-goodßoy MySister'CallMe-chocklétyßoy MyGirlfriend'CallMe-Playßoy

































💝100% Follow Back 👌🤙",,FALSE,658,652,0,1967,908,2014-08-14 15:22:18,FALSE,,,,"https://pbs.twimg.com/profile_banners/2732011495/1557082348","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1125110608280588294/1FWn-aPz_normal.jpg"
"x1033041590728773632","x1191968453458059266",2019-11-06 06:39:59,"TasawarPTii","MAQBOOZA #Kashmir ME #Modi HUKUMAT KI JANIB SE #HumanRights KI #Violations JARI.
JANUARY 1989 SE SEPTEMBER 2019 TAK #IndianArmy NE 95,454 #Kashmirion KO QATAL KIYA.
LIST JARI.
#KashmirStillCrying","Twitter for Android",140,,,,FALSE,TRUE,0,1,"Kashmir Modi HumanRights Violations",,,,,,,,,,,,,"x1128374848047276032","bibichand12","hi",,,,,,,,,,,,,,,,"x1191968204156833792","MAQBOOZA #Kashmir ME #Modi HUKUMAT KI JANIB SE #HumanRights KI #Violations JARI.
JANUARY 1989 SE SEPTEMBER 2019 TAK #IndianArmy NE 95,454 #Kashmirion KO QATAL KIYA.
LIST JARI.
#KashmirStillCrying",2019-11-06 06:39:00,"TweetDeck",1,1,"x1128374848047276032","bibichand12","چاند بی بی",6938,6938,21878,"Kurram Pakistan","Beauty lover🤗
Love my Watan Waziristan💚
Traveling is my hobby💕


Follow for follow back😜",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/TasawarPTii/status/1191968453458059266","ملک تصور اقبال ( خان کا سپاہی)","Pakistan(live in oman) ","پاکستان آرمی زندہ باد",,FALSE,344,235,0,6285,1763,2018-08-24 17:21:23,FALSE,,,,"https://pbs.twimg.com/profile_banners/1033041590728773632/1572809239",,"http://pbs.twimg.com/profile_images/1188545652038520839/6gfmF49k_normal.jpg"
"x519833322","x1191968410101522432",2019-11-06 06:39:49,"asad_alisyed","Shift my mother to place equipped for harsh winter: #MehboobaMufti’s daughter to govt

#LetKashmirSpeak #SaveKashmiriWomen #StandWithKashmir

@MehboobaMufti @UN @antonioguterres @FedericaMog @MBachelet @UNHumanRights @HRW @peaceforchange @AIIndia #Kashmir

https://t.co/g7xZ51Ehpj","Twitter for Android",140,,,,FALSE,TRUE,0,89,"MehboobaMufti LetKashmirSpeak SaveKashmiriWomen",,,,,,,,,,,,,"x752325773390938112","SoStarMusic","en",,,,,,,,,,,,,,,,"x1191859736087552000","Shift my mother to place equipped for harsh winter: #MehboobaMufti’s daughter to govt

#LetKashmirSpeak #SaveKashmiriWomen #StandWithKashmir

@MehboobaMufti @UN @antonioguterres @FedericaMog @MBachelet @UNHumanRights @HRW @peaceforchange @AIIndia #Kashmir

https://t.co/g7xZ51Ehpj",2019-11-05 23:27:59,"Twitter Web Client",82,89,"x752325773390938112","SoStarMusic","So-Star",245885,174817,307797,"12 Studios used Worldwide","#Music Producer & Songwriter YT:https://t.co/TeeZNEFLF4   itunes:https://t.co/M7fd4MXkib 😎 I Support 📻@sostarradio  ☮️@HumanRightsPath  & 🖊️ @SoStarQuotes",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/asad_alisyed/status/1191968410101522432","Sun-Sand_Sea","","",,FALSE,592,1375,6,7846,9411,2012-03-09 21:22:23,FALSE,,,,"https://pbs.twimg.com/profile_banners/519833322/1492021571","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/852494582591967233/bhedW97V_normal.jpg"
